cust_id,CAL_DT,TPV,cnt
2126690000000000000,2/24/2014,35.00,1
2281310000000000000,12/1/2014,104.57,1
2155140000000000000,4/28/2015,79.99,1
2292760000000000000,1/25/2014,258.40,1
2220830000000000000,4/21/2015,55.00,1
1594880000000000000,5/3/2015,32.64,1
1399040000000000000,10/12/2013,24.98,1
1773580000000000000,2/10/2015,4.92,1
1703280000000000000,1/13/2014,8.34,1
1835380000000000000,3/31/2014,13.95,1
2048290000000000000,9/30/2013,42.90,1
1926330000000000000,12/18/2014,49.00,1
1564540000000000000,12/21/2013,12.58,1
1790830000000000000,5/10/2014,9.50,1
2291780000000000000,7/20/2013,4.60,1
1893510000000000000,7/8/2013,57.00,1
