cust,date,tpv,cnt
2069457277445120242,24-07-2013,19.0,1
2256072421897567714,08-03-2014,0.0,0
1705769147172284354,24-03-2015,59.8,1
1330049519186623865,25-01-2014,20.0,1
1545191435862360049,06-07-2013,222.5,1
1823064895374807606,08-11-2014,9.3,1
2145499862714162641,23-07-2013,4.0,1
2216146709564416852,31-10-2013,140.0,1
2101036905786389833,11-08-2014,5.0,1
2274110308773162509,01-01-2014,4.8,1
2150554674707802147,28-12-2013,5.0,1
2015441343115605631,07-10-2014,8.0,1
1838157281875757689,05-07-2013,70.0,1
1362522927863220143,14-07-2013,13.2,1
1183345025139578681,24-10-2013,45.0,1
2206434618905526693,04-04-2015,177.1,1
1653489760659361402,30-09-2015,14.4,1
1327253167506723883,04-08-2014,2.6,1
1503741417993175661,25-06-2015,0.0,0
1194995277531137382,01-10-2013,475.0,3
1999051804193819215,12-04-2014,2.0,1
1378059833821924352,20-01-2014,2.9,1
1585633481604545793,07-07-2013,23.4,2
1887346503415728648,30-01-2014,30.0,1
2127615134719024430,10-08-2014,17.1,1
2096548622554383538,28-03-2014,185.0,1
2015441343115605631,05-07-2013,0.0,0
1934724733851730390,17-02-2014,41.0,2
1900293864379410699,02-07-2014,56.2,1
2158517231464823868,26-11-2014,61.0,2
1286124007685712707,29-07-2015,16.0,1
1233997136819710877,27-01-2015,9.8,2
2040267819987675421,26-09-2014,50.0,1
1467828097500795132,05-06-2015,49.2,2
2260278617594376247,26-06-2014,10.2,1
1529114919662122971,21-12-2014,55.8,1
2252137579451135922,08-09-2013,27.1,3
1975584729538778211,08-01-2015,10.0,1
1161161850100630446,30-06-2014,214.9,4
2255499273527096447,01-11-2014,13.0,1
1863485753144115792,03-12-2013,127.0,1
2215682479866206917,29-08-2014,26.0,2
1882812772379054148,09-10-2014,7.0,1
1191514960706514078,02-05-2014,110.0,1
1927174403388170694,26-07-2013,0.0,0
1580694718409981657,15-10-2014,15.0,2
1962211823629567020,07-09-2015,3.5,1
1656181320183923554,04-05-2015,37.1,1
2200106493241631089,10-11-2013,123.7,2
2240235758884569612,22-07-2014,41.9,1
1554479694583629155,31-10-2013,-36.0,0
1755491907732035296,02-03-2015,57.5,1
1734851034341530337,18-08-2015,23.2,1
1595016604159998943,18-04-2014,77.8,1
1358946094739496714,29-06-2015,8.0,1
1724900547349350360,11-07-2015,56.9,2
1625312869938383573,24-12-2013,1.0,1
1251156460980314500,19-12-2014,-68.2,-1
2015441343115605631,16-12-2014,212.5,1
2265803919533053692,01-03-2015,102.9,3
1162221516345757483,26-07-2013,11.8,1
1392584400810750627,26-03-2014,-77.0,0
1841432514771925777,17-02-2015,236.2,2
1255981070871518511,05-07-2013,0.0,0
1770593075240011114,04-03-2015,132.5,1
1580585494121445162,27-06-2014,41.3,1
2253148111897498791,03-10-2015,10.6,1
1703082515232477683,23-05-2015,0.0,0
1462973392387879903,18-10-2013,0.0,0
1932727460388319004,07-04-2014,0.0,0
1827920147092312423,09-08-2013,36.5,1
1899516403232970267,25-10-2013,76.9,1
1313953351091143798,21-09-2014,108.2,1
1747456981233761744,30-09-2013,0.0,0
1604081242363925696,15-03-2014,15.0,1
2096548622554383538,19-03-2014,168.6,2
1313112990483718870,26-08-2013,17.0,1
1345660496152113831,17-01-2015,5.0,1
1710667797189425942,07-08-2013,103.6,4
1684834756095840662,16-04-2015,244.0,4
2130346472508590676,13-11-2013,6.0,1
1860644759320070457,15-12-2013,60.0,1
1358027268514897463,27-09-2013,97.0,1
2294258814099447167,24-09-2013,6.5,2
2242862962861908643,26-12-2013,22.0,2
1728588040026104386,28-02-2014,48.7,1
1767556109835835990,27-01-2014,166.5,9
1924087973513076385,18-01-2014,-15.0,-1
1887346503415728648,30-07-2015,14.9,1
1180730870854564788,04-07-2014,19.0,1
1220039223348186962,04-05-2015,14.0,1
1504062635354076120,20-07-2013,72.9,2
1569748974119992784,27-02-2015,21.3,3
1934724733851730390,15-08-2014,44.8,2
1609044054008040020,16-11-2014,65.0,2
2164630411494144299,21-10-2014,15.0,1
2003054522486608580,17-08-2013,32.9,1
1934577962783964969,03-02-2014,10.0,1
1995933086155620219,24-06-2014,118.0,1
1990991610470940620,02-09-2014,246.8,3
1263862801177231230,16-07-2013,19.8,1
1607865771959355996,27-07-2013,47.5,1
1806060336773732860,09-06-2015,757.4,2
1442748515150592012,04-08-2015,92.0,1
1418689795299277890,13-11-2013,10.0,1
2236832342197989599,28-07-2013,10.0,1
1220708733860592737,15-07-2013,67.0,1
1373134964517802337,24-03-2014,18.3,2
1410797936370187733,14-09-2013,150.0,1
1220039223348186962,05-05-2015,39.0,1
2207571998395260484,01-07-2015,47.0,2
2268368553298281143,10-03-2014,247.0,2
1377046944013979698,28-12-2013,8.0,2
1656289082610536160,30-03-2015,11.0,1
1626167971543788227,27-11-2013,31.5,1
2214397750900923421,24-11-2013,39.0,1
2301861060115692816,09-06-2015,0.0,0
1400462260182919965,04-06-2015,50.0,1
2083042996280573704,18-01-2015,66.4,2
1354669251240864858,16-07-2014,44.3,2
1548007045003663911,01-12-2013,160.0,1
1228181639636199985,13-12-2013,28.5,1
1861367812738129054,17-08-2013,285.0,2
1909058642109627874,15-05-2014,43.0,1
1991317721471692538,22-07-2014,8.5,1
2232274071035904858,13-09-2013,90.2,2
1754247995051557656,17-03-2014,43.6,2
2101036905786389833,04-03-2015,10.7,1
1473409679693329010,30-05-2014,85.4,3
1758196590248414586,25-07-2015,9.5,1
1974846085508151380,06-02-2014,50.1,2
1604081242363925696,11-05-2014,215.1,1
1612533118606426216,10-09-2013,54.8,1
1829418866516456554,22-07-2013,55.1,4
1867002670813705092,10-02-2015,166.0,1
1580585494121445162,16-08-2014,69.8,1
1602896514925047968,30-07-2013,126.8,1
2282212342156300223,21-03-2015,20.0,1
2152546908030943427,08-09-2013,12.9,2
1774596532832149807,02-07-2013,16.4,1
2182607448364502971,05-02-2015,4.0,1
1598829418213361202,05-12-2013,51.6,1
2219443394701948253,07-09-2014,23.0,1
1738510290283328273,10-12-2014,33.0,2
1671765017787950904,09-06-2015,-33.1,0
1564036194320202841,03-10-2014,10.0,1
1299148945148884200,19-08-2014,38.7,1
1979219604365670013,08-03-2015,82.6,8
2239229495630568806,04-08-2014,25.0,1
1350932739623993148,17-07-2015,769.9,1
1732994889560654222,29-08-2015,35.0,1
1408029476249802434,04-09-2014,15.0,1
2200355046782800960,09-07-2013,104.8,2
1194466477226332963,15-11-2014,38.7,2
1557204925720400229,06-07-2013,20.0,1
1258419278160735220,05-05-2014,233.1,2
1506499408400369564,17-05-2014,25.0,1
1870038524637938325,27-11-2014,23.0,1
1406581357276827921,17-06-2015,12.6,1
1905880672778586374,02-12-2013,37.5,1
2235261686771737668,03-11-2014,16.0,1
1798896257777522081,07-04-2015,16.8,2
1410072900167484967,08-05-2014,16.8,2
2070724513103153397,12-07-2013,95.0,2
1472202676383512644,28-04-2015,5.0,1
1448041844760637587,25-12-2013,3.0,1
1378610136443483380,26-12-2014,22.0,1
1545529020911848725,31-12-2013,6.0,1
2298678209091093569,26-05-2015,0.0,0
1336265134418197142,08-12-2014,160.0,1
1280118080233514346,25-02-2014,5.3,2
2062956545498728831,14-02-2014,76.3,1
1373134964517802337,12-01-2015,25.0,1
1874238083468497252,02-01-2014,46.2,3
2013999510374472049,23-03-2015,74.3,2
1867002670813705092,23-08-2015,41.4,1
1378340363175524057,24-09-2015,172.5,2
1663929876528992365,01-02-2015,6.4,1
1579434948045042062,12-11-2013,64.1,1
1893261277118217552,07-09-2014,12.3,2
1185498619230777837,21-08-2013,20.8,1
2130166647331000195,07-04-2014,-4.0,0
1592917272262264966,01-07-2014,10.0,1
1271841778199155786,01-10-2014,620.8,1
1295380943731897425,20-07-2013,51.0,1
1609269422344471390,18-01-2014,14.7,1
1267156213540551847,15-09-2015,328.9,9
1346824384569251917,15-07-2013,188.8,2
1297075081601759574,01-03-2015,10.0,1
1479229178638094253,08-09-2013,-20.0,0
1995753312483489438,03-09-2014,134.0,1
1400368596696958953,14-07-2015,55.2,3
1164773194857273023,11-09-2013,7.5,1
1267156213540551847,07-10-2013,64.0,1
1592125609523467537,05-12-2013,6.0,1
1488427082430423636,29-12-2013,8.0,1
1441724521785220517,13-09-2013,4.9,1
1227062156101306791,17-01-2015,26.5,1
2274977724800441843,15-12-2014,14.2,1
1252062565895185388,16-04-2015,4.9,1
1684834756095840662,09-02-2014,319.4,3
2081369063285730335,17-06-2014,14.0,1
1546775942098051650,16-07-2013,6.8,1
2130346472508590676,13-09-2014,4.7,1
1704523665540122786,19-04-2015,6.0,2
2222799918211637694,18-07-2013,0.0,0
1731372453135841524,25-07-2013,50.0,1
1686031835578627483,17-07-2013,69.3,1
1964064658169492376,19-07-2015,5.0,1
1956326326928898471,03-04-2014,8.0,1
1426194859171202582,04-07-2014,0.0,0
2048856221624924548,18-08-2014,7.0,1
1331404786920051761,21-07-2013,34.9,1
2251012906310063997,26-06-2014,17.5,1
1684834756095840662,01-10-2014,59.9,3
1941795092192974666,09-08-2013,66.8,1
1656181320183923554,25-05-2015,29.4,1
1936884786195635131,15-09-2014,38.7,1
1941922926574468561,01-11-2014,19.0,1
1297154043543554431,01-10-2015,2.0,1
1300979488962157089,03-07-2013,92.5,3
1924712917378608253,11-07-2013,10.0,1
1666110713381190814,31-05-2015,123.8,1
1438183372156702516,04-09-2014,135.0,1
1840580481447527884,31-07-2013,12.0,1
1728201917857832174,25-06-2014,221.8,2
1189858887685250885,09-08-2015,0.0,0
1378340363175524057,26-09-2013,365.0,1
1897153854589703704,15-09-2014,38.4,1
2248081452862888786,09-08-2013,0.0,0
1261511152415181078,29-07-2014,5.8,1
1413372219233804036,02-11-2014,31.2,2
1724900547349350360,02-04-2015,83.8,1
1553528504240873661,02-02-2014,10.7,1
1592125609523467537,07-01-2014,7.6,1
1505877206017952319,15-08-2015,27.0,1
2212722282286225343,17-03-2015,101.0,1
1963492614130713340,05-06-2015,23.9,1
2267940087544452431,29-11-2013,30.0,1
1959473563270446852,10-06-2015,3.8,1
1505395180206412160,08-07-2013,345.0,1
2000696029406401372,28-07-2014,125.0,2
1418200753860356437,25-03-2014,38.6,2
1297847577795270664,05-08-2013,28.8,1
2207571998395260484,27-06-2015,25.0,1
1935303743188638611,28-02-2014,8.7,1
1299239086652440513,24-10-2014,90.0,1
1662681746161612617,19-11-2013,8.0,2
1687912332122196583,08-08-2013,3.6,1
2299977148178544238,02-04-2015,32.9,1
1813972633352404562,25-09-2014,19.7,2
1158231066942859053,11-08-2014,39.6,2
1486478127913085779,02-08-2013,84.2,3
1324738782487402715,27-10-2014,93.6,2
2196966392281945229,18-10-2013,7.2,1
1439699701937736110,05-10-2013,7.0,1
1758967069607024818,15-10-2014,136.5,1
